Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8.00E-05
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
4.87E-02,3.31562
4.88E-02,2.53125
4.89E-02,2.11328
4.90E-02,1.75273
4.90E-02,1.56406
4.91E-02,1.40195
4.92E-02,1.21523
4.93E-02,1.05664
4.94E-02,0.948828
4.94E-02,0.867969
4.95E-02,0.903125
4.96E-02,0.853516
4.97E-02,0.932031
4.98E-02,1.07695
4.98E-02,1.1293
4.99E-02,1.07109
5.00E-02,1.15273
5.01E-02,1.1375
5.02E-02,0.962109
5.02E-02,0.751953
5.03E-02,0.74375
5.04E-02,1.08047
5.05E-02,2.04258
5.06E-02,0.996094
5.06E-02,0.921875
5.07E-02,1.05859
5.08E-02,1.13125
5.09E-02,1.12109
5.10E-02,0.996484
5.10E-02,0.8625
5.11E-02,0.939453
5.12E-02,0.932031
5.13E-02,0.891797
5.14E-02,0.897266
5.14E-02,0.797656
5.15E-02,0.757031
5.16E-02,0.76875
5.17E-02,0.904297
5.18E-02,1.0707
5.18E-02,1.32187
5.19E-02,1.74297
5.20E-02,2.07305
5.21E-02,2.36445
5.22E-02,2.95078
5.22E-02,3.92383
5.23E-02,4.59492
5.24E-02,4.35625
5.25E-02,3.16953
5.26E-02,2.63437
5.26E-02,2.18516
5.27E-02,1.81523
5.28E-02,1.61562
5.29E-02,1.49102
5.30E-02,1.24141
5.30E-02,1.05898
5.31E-02,0.944141
5.32E-02,0.945312
5.33E-02,0.889062
5.34E-02,0.902734
5.34E-02,1.0082
5.35E-02,1.0918
5.36E-02,1.14062
5.37E-02,1.17617
5.38E-02,1.0207
5.38E-02,1.04375
5.39E-02,0.937109
5.40E-02,0.813281
5.41E-02,0.748828
5.42E-02,0.997656
5.42E-02,1.93477
5.43E-02,0.914062
5.44E-02,1.05781
5.45E-02,1.10703
5.46E-02,1.01133
5.46E-02,1.01758
5.47E-02,0.985547
5.48E-02,0.973828
5.49E-02,0.913672
5.50E-02,0.910156
5.50E-02,0.977734
5.51E-02,0.877734
5.52E-02,0.8625
5.53E-02,0.808984
5.54E-02,0.807031
5.54E-02,0.907812
5.55E-02,1.16602
5.56E-02,1.47695
5.57E-02,1.80039
5.58E-02,2.1625
5.58E-02,2.57812
5.59E-02,2.93984
5.60E-02,3.68711
5.61E-02,4.31875
5.62E-02,4.13398
5.62E-02,3.06836
5.63E-02,2.275
5.64E-02,1.8793
5.65E-02,1.59805
5.66E-02,1.55234
5.66E-02,1.34961
5.67E-02,1.1043
5.68E-02,1.1332
5.69E-02,0.876562
5.70E-02,0.898828
5.70E-02,0.949609
5.71E-02,0.934375
5.72E-02,1.02695
5.73E-02,1.11445
5.74E-02,1.19375
5.74E-02,1.16602
5.75E-02,1.19375
5.76E-02,1.03945
5.77E-02,0.961719
5.78E-02,0.786328
5.78E-02,0.754297
5.79E-02,1.14648
5.80E-02,2.06992
5.81E-02,0.977734
5.82E-02,1.01406
5.82E-02,1.01484
5.83E-02,1.14062
5.84E-02,1.07344
5.85E-02,1.05703
5.86E-02,0.929687
5.86E-02,0.982812
5.87E-02,1.02422
5.88E-02,0.971094
5.89E-02,0.9125
5.90E-02,0.841797
5.90E-02,0.74375
5.91E-02,0.774609
5.92E-02,0.811328
5.93E-02,0.86875
5.94E-02,1.15039
5.94E-02,1.52422
5.95E-02,1.9207
5.96E-02,2.29805
5.97E-02,2.74687
5.98E-02,3.59961
5.98E-02,4.22734
5.99E-02,3.98164
6.00E-02,2.89297
6.01E-02,2.33281
6.02E-02,2.06484
6.02E-02,1.67422
6.03E-02,1.45273
6.04E-02,1.28047
6.05E-02,1.17031
6.06E-02,0.95
6.06E-02,0.801953
6.07E-02,0.885547
